coffee_id,Country_of_Origin,Farm_Name,Lot_Number,Mill,ICO_Number,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Grading_Date,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Expiration,Certification_Body,Certification_Address,Certification_Contact,parsed_expiration,parsed_grading_date
746,Mexico,omicuatla,,comitla,842046,,533,"calnali, hidalgo",FELIX DE LA CRUZ CASIMIRO,10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Bourbon,,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,,82.25,0.16,None,3,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
467,Mexico,la loma,,el pedregal,1702771046,,1089,san bartolo tutotepec,"TREJO VELASCO, ROMAN",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Pacamara,,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,,83.17,0.14,None,0,10,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
667,Mexico,la pagua,,el mavodo,1702773555,,1679,san bartolo tutotepec,"VELASCO SAN AGUSTIN, NAZARIO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,,82.5,0.13,None,0,10,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
728,Mexico,tepemalacax,,en tlalnepantla,1702806437,,441,"jaltocan, hidalgo","SALAZAR HERNANDEZ, ROBERTO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,,82.33,0.15,None,1,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
310,Mexico,naranjal,,en ahuatitlan,0,,700,"huazalingo, hidalgo","MARTINEZ MAGDALENA, AGAPITA",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Caturra,,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,7.83,,83.75,0.13,None,5,5,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
1129,Mexico,"santa clara, california y camila",,finca camila,0,,1100,san miguel del puerto,SEMIRAMIS CASAS VELAZQUEZ,256,1 kg,AMECAFE,2012,September 4 2012,semiramis casas velazquez,Other,,Washed / Wet,7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,,80,0.11,Green,0,12,0,September 4 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-04,2012-09-04
1034,Mexico,finca santa clara,,"finca santa clara, localidad de zona del bulé, san pedro pochutla oaxaca",0,café san blas,1100,oaxaca,JUAN JOSE CASAS BLANCO,30,1 kg,AMECAFE,2012,August 29 2012,jose manuel vergara cortes,Typica,,Washed / Wet,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,,80.83,0.11,Green,0,3,0,August 29 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-08-29,2012-08-29
554,Mexico,el regalito,,el regalito,0,,1248,petatlan,MARIA GUADALUPE GOMEZ ANZO,15,1 kg,AMECAFE,2012,July 26 2012,maria guadalupe gomez anzo,Typica,,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,,82.92,0.1,Green,0,4,0,July 26 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-26,2012-07-26
1210,Mexico,"la patrona, el trebol, la cadena",,"tlavictepan, huatusco",0,empagri s.p.r. de r.l. de c.v.,1320,veracruz,"JOSE VAZQUEZ CANTON, JOSE ANTONIO JIMENEZ GONZALEZ, IRENEO GARCIA VALDIVIA",20,1 kg,AMECAFE,2012,August 1 2012,octavio augusto diaz trejo,Typica,,Washed / Wet,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,,78.75,0.14,Green,0,0,0,August 1 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-08-01,2012-08-01
556,Mexico,el jabali,,comunidad la cumbre,1489,union de ejidos san fernando de ri,1400,la cumbre,WERCLEIN HERNANDEZ SERRANO ID.-1506728641,100,1 kg,AMECAFE,2012,March 5 2012,veronica lopez castillejos,Typica,,Washed / Wet,8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,,82.92,0.14,Green,1,4,0,March 5 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-03-05,2012-03-05
890,Mexico,finca cafetalera la suiza,,"municipio monte cristo de guerrero, chiapasmunicipio monte cristo de guerrero",0,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v.",1650,tuxtla gutierrez,PRODUCTORA AGRICOLA Y GANADERA FINCA LA SUIZA,100,1 kg,AMECAFE,2012,September 11 2012,virginia gordillo gordillo,Typica,,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,,81.67,0.13,Green,1,13,0,September 11 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-11,2012-09-11
1177,Mexico,cre-leg l-4,,cre-leg beneficio,0,cafessisimo compañia s.a. de c.v.,800,xicotepec de juarez,ADRIANA TORRES RICO QUEVEDO,10,1 kg,AMECAFE,2012,September 11 2012,adriana torres rico quevedo,Typica,,Washed / Wet,7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,,79.42,0.13,Green,0,30,0,September 11 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-11,2012-09-11
697,Mexico,corral del diablo lote 1,,corral del diablo lote 1,3252,,1300,zihuatanejo de azueta,DARIO FRANCISCO GALEANA SOLIS,74,1 kg,AMECAFE,2012,July 25 2012,dario cesar galeana sanchez,Typica,,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,,82.42,0.11,Green,0,0,0,July 25 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-25,2012-07-25
1278,Mexico,"zaragoza, montelibano, pamal navil",,"zaragoza, montelibano, pamal navil",2670,sposel s. de s.s.,1200,ocosingo,SPOSEL S. DE S.S.,100,1 kg,AMECAFE,2012,September 12 2012,francisco hernandez lorenzo,Mundo Novo,,Washed / Wet,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,,75.17,0.11,Green,0,20,0,September 12 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-12,2012-09-12
370,Mexico,la corralera,,dos puentes de finca kassandra,2484,,1400,totutla,GABRIEL BERNARD RIVAS ROSS,15,1 kg,AMECAFE,2012,July 11 2012,gabriel bernardo rivas ross,Pacamara,,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,,83.5,0.12,Green,0,0,0,July 11 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-11,2012-07-11
1281,Mexico,la cruz,,mecatlán veracruz,0,grupo juvenil magtayani ac,850,menglian,MIGUEL LOPEZ TIRZO,43,1 kg,AMECAFE,2012,July 11 2012,"grupo juvenil magtayani, ac",Typica,,Washed / Wet,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,,75,0.14,Green,15,7,0,July 11 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-07-11,2012-07-11
1283,Mexico,la orduña,,falcafe s.a. de c.v.,1104362940,,1250,coatepec,PABLO ENRIQUE MARTINEZ GAMA,20,1 kg,AMECAFE,2012,August 1 2012,pablo enrique martinez gama,Typica,,Washed / Wet,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,,74.83,0.12,Green,0,30,0,August 1 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-08-01,2012-08-01
1128,Mexico,"la orduña, coatepec, veracruz",,alcafe s.a. de c.v,1104362940,,1250,coatepec,PABLO ENRIQUE MARTINEZ GAMA,20,1 kg,AMECAFE,2012,September 10 2012,pablo enrique martinez gama,Typica,,Washed / Wet,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,,80,0.12,Green,0,9,0,September 10 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-10,2012-09-10
